region,subregion,country,civil_firearms,population,firearm_poss,reg_firearms,unreg_firearms
Americas,Caribbean,Cayman Islands,9.2,62000.0,6000,1556.0,4444
Americas,Caribbean,Jamaica,8.8,2813000.0,246000,45915.0,200085
Americas,Caribbean,Guadeloupe,8.5,472000.0,40000,5500.0,34500
Americas,Caribbean,Martinique,8.5,396000.0,34000,,
Americas,Caribbean,Saint Martin,8.5,32000.0,3000,,
Europe,Eastern Europe,Bulgaria,8.4,7045000.0,590000,345733.0,244267
Americas,South America,Brazil,8.3,211243000.0,17510000,8080295.0,9429705
Africa,East Africa,Mauritius,8.3,1281000.0,106000,,
Asia,Western Asia,Syria,8.2,18907000.0,1547000,,
Africa,West Africa,Ghana,8.0,28657000.0,2280000,1236128.0,1043872
Oceania,Polynesia,Tonga,8.0,108000.0,9000,,
Asia,East Asia,Mongolia,7.9,3052000.0,242000,46982.0,195018
Europe,Southern Europe,Spain,7.5,46070000.0,3464000,2683542.0,780458
Americas,South America,Argentina,7.4,44272000.0,3256000,1562332.0,1693668
Americas,Caribbean,Dominican Republic,7.4,10767000.0,795000,333426.0,461574
Asia,South Asia,Iran,7.3,80946000.0,5890000,,
Europe,Western Europe,Ireland,7.2,4749000.0,342000,200000.0,142000
Asia,Western Asia,Israel,6.7,8323000.0,557000,290000.0,267000
Africa,North Africa,Sudan,6.6,42166000.0,2768000,6724.0,2761276
Africa,West Africa,Gambia,6.5,2120000.0,137000,,
Europe,Central Europe,Slovakia,6.5,5432000.0,355000,280000.0,75000
Americas,Caribbean,Dominica,6.2,73000.0,5000,,
Asia,South Asia,Maldives,6.2,376000.0,23000,,
Asia,Western Asia,Armenia,6.1,3032000.0,186000,45822.0,140178
Europe,Eastern Europe,Belarus,6.1,9459000.0,581000,130000.0,451000
Africa,West Africa,Cape Verde,5.7,533000.0,31000,,
Europe,Western Europe,Scotland,5.6,5436000.0,305000,187000.0,118000
Americas,Caribbean,Antigua and Barbuda,5.4,94000.0,5000,1449.0,3551
Americas,Caribbean,Montserrat,5.4,5000.0,300,,
Asia,South Asia,India,5.3,1342513000.0,71101000,9700000.0,61401000
Americas,Central America,Nicaragua,5.2,6218000.0,323000,142260.0,180740
Europe,Northern Europe,Estonia,5.0,1306000.0,65000,47000.0,18000
Africa,Southern Africa,Lesotho,4.8,2185000.0,105000,,
Africa,North Africa,Morocco,4.8,35241000.0,1690000,,
Africa,Southern Africa,Eswatini,4.8,1320000.0,64000,10000.0,54000
Americas,North America,Bermuda,4.6,61000.0,3000,,
Europe,Western Europe,England & Wales,4.6,58877000.0,2731000,1870735.0,860265
Americas,Caribbean,Grenada,4.6,108000.0,5000,,
Asia,South-East Asia,Cambodia,4.5,16076000.0,717000,,
Africa,East Africa,Mozambique,4.5,29538000.0,1337000,7000.0,1330000
Africa,West Africa,Ivory Coast,4.4,23816000.0,1049000,2500.0,1046500
Americas,Caribbean,Sint Maarten,4.2,40000.0,2000,,
Africa,Southern Africa,Botswana,4.1,2344000.0,97000,32901.0,64099
Africa,North Africa,Egypt,4.1,95215000.0,3931000,250000.0,3681000
Europe,Southern Europe,Gibraltar,4.1,32000.0,1000,,
Africa,East Africa,Seychelles,4.1,98000.0,4000,,
Oceania,Melanesia,Vanuatu,3.9,276000.0,11000,4700.0,6300
Asia,Western Asia,Azerbaijan,3.6,9974000.0,362000,,
Asia,East Asia,China,3.6,1388233000.0,49735000,680000.0,49055000
Asia,East Asia,Macau,3.6,606000.0,22000,,
Asia,East Asia,Hong Kong,3.6,7402000.0,265000,,
Asia,South-East Asia,Philippines,3.6,103797000.0,3776000,1739000.0,2037000
Americas,Caribbean,Barbados,3.5,286000.0,10000,3000.0,7000
Africa,Central Africa,Gabon,3.4,1801000.0,61000,,
Americas,Caribbean,Saint Kitts and Nevis,3.4,57000.0,2000,,
Americas,Caribbean,Saint Lucia,3.4,188000.0,6000,,
Americas,Caribbean,Saint Vincent and the Grenadines,3.4,110000.0,4000,2865.0,1135
Africa,Central Africa,São Tomé and Príncipe,3.4,198000.0,7000,,
Americas,Caribbean,Turks and Caicos Islands,3.3,35000.0,1000,300.0,700
Africa,West Africa,Nigeria,3.2,191836000.0,6154000,,
Americas,Caribbean,Trinidad and Tobago,3.2,1369000.0,43000,10550.0,32450
Africa,East Africa,Djibouti,3.1,911000.0,28000,,
Asia,South-East Asia,Laos,3.0,7038000.0,215000,,
Europe,Eastern Europe,Moldova,3.0,4055000.0,121000,54663.0,66337
Asia,Central Asia,Kazakhstan,2.8,18064000.0,504000,284000.0,220000
Asia,Central Asia,Kyrgyzstan,2.8,6125000.0,171000,29237.0,141763
Africa,West Africa,Mauritania,2.8,4266000.0,120000,,
Africa,East Africa,Zimbabwe,2.8,16338000.0,455000,190685.0,264315
Americas,Caribbean,Aruba,2.6,105000.0,3000,,
Americas,Caribbean,Curaçao,2.6,160000.0,4000,,
Americas,Caribbean,Haiti,2.6,10983000.0,291000,20379.0,270621
Europe,Western Europe,Netherlands,2.6,17033000.0,442000,205347.0,236653
Oceania,Micronesia,Northern Mariana Islands,2.6,56000.0,1000,,
Europe,Eastern Europe,Romania,2.6,19238000.0,506000,210000.0,296000
Oceania,Polynesia,French Polynesia,2.5,289000.0,7000,,
Europe,Eastern Europe,Poland,2.5,38564000.0,968000,380000.0,588000
Africa,Central Africa,Congo,2.4,4866000.0,119000,,
Americas,South America,Ecuador,2.4,16626000.0,402000,167102.0,234898
Asia,South Asia,Sri Lanka,2.4,20905000.0,494000,35000.0,459000
Africa,North Africa,Algeria,2.1,41064000.0,877000,200000.0,677000
Africa,Central Africa,Cameroon,2.1,24514000.0,510000,,
Americas,Caribbean,Cuba,2.1,11390000.0,234000,58150.0,175850
Africa,West Africa,Liberia,2.1,4730000.0,97000,,
Americas,South America,Bolivia,2.0,11053000.0,218000,10982.0,207018
Africa,East Africa,Burundi,2.0,11936000.0,238000,,
Americas,South America,Peru,2.0,32166000.0,633000,365845.0,267155
Africa,West Africa,Senegal,2.0,16054000.0,323000,7053.0,315947
Africa,Central Africa,Central African Republic,1.8,5099000.0,94000,,
Asia,South-East Asia,Myanmar,1.6,54836000.0,877000,,
Asia,South-East Asia,Vietnam,1.6,95415000.0,1562000,,
Africa,East Africa,Comoros,1.5,826000.0,12000,,
Africa,West Africa,Guinea-Bissau,1.5,1933000.0,29000,,
Africa,East Africa,Kenya,1.5,48467000.0,750000,8136.0,741864
Asia,South Asia,Nepal,1.5,29187000.0,444000,34315.0,409685
Asia,South-East Asia,Brunei,1.4,434000.0,6000,,
Africa,Central Africa,DR Congo,1.2,82243000.0,946000,216.0,945784
Oceania,Polynesia,Tuvalu,1.2,10000.0,100,50.0,50
Africa,West Africa,Mali,1.1,18690000.0,206000,,
Asia,Western Asia,Palestine,1.1,4952000.0,56000,,
Africa,North Africa,Tunisia,1.1,11495000.0,123000,3408.0,119592
Africa,Central Africa,Chad,1.0,14965000.0,151000,,
Africa,West Africa,Guinea,1.0,13291000.0,130000,,
Oceania,Melanesia,Papua New Guinea,1.0,7934000.0,79000,27043.0,51957
Africa,West Africa,Burkina Faso,0.9,19173000.0,175000,,
Africa,East Africa,Zambia,0.9,17238000.0,158000,86642.0,71358
Asia,South Asia,Bhutan,0.8,793000.0,6000,4309.0,1691
Oceania,Melanesia,Kiribati,0.8,116000.0,900,,
Africa,East Africa,Tanzania,0.8,56878000.0,427000,115850.0,311150
Africa,West Africa,Togo,0.8,7692000.0,58000,10000.0,48000
Africa,East Africa,Uganda,0.8,41653000.0,331000,21156.0,309844
Americas,Caribbean,British Virgin Islands,0.8,31000.0,300,48.0,252
Oceania,Polynesia,American Samoa,0.7,56000.0,400,250.0,150
Africa,East Africa,Madagascar,0.7,25613000.0,168000,,
Asia,South-East Asia,Malaysia,0.7,31164000.0,217000,142038.0,74962
Oceania,Micronesia,Micronesia,0.7,106000.0,700,,
Oceania,Melanesia,Fiji,0.5,903000.0,5000,1538.0,3462
Oceania,Melanesia,Marshall Islands,0.5,53000.0,300,,
Africa,West Africa,Niger,0.5,21564000.0,117000,2000.0,115000
Oceania,Melanesia,Palau,0.5,22000.0,100,,
Africa,East Africa,Rwanda,0.5,12160000.0,66000,,
Africa,West Africa,Sierra Leone,0.5,6733000.0,35000,,
Asia,South Asia,Bangladesh,0.4,164828000.0,659000,185000.0,474000
Africa,East Africa,Eritrea,0.4,5482000.0,23000,,
Africa,East Africa,Ethiopia,0.4,104345000.0,377000,,
Asia,Central Asia,Tajikistan,0.4,8858000.0,37000,9863.0,27137
Asia,Central Asia,Turkmenistan,0.4,5503000.0,23000,,
Asia,Central Asia,Uzbekistan,0.4,30691000.0,127000,,
Africa,West Africa,Benin,0.3,11459000.0,33000,,
Asia,East Asia,Japan,0.3,126045000.0,377000,175221.0,201779
Asia,East Asia,North Korea,0.3,25405000.0,76000,,
Africa,East Africa,Malawi,0.3,18299000.0,47000,12500.0,34500
Asia,South-East Asia,Singapore,0.3,5785000.0,20000,795.0,19205
Asia,South-East Asia,East Timor,0.3,1237000.0,3000,,
Asia,East Asia,South Korea,0.2,50705000.0,79000,39530.0,39470
Oceania,Melanesia,Solomon Islands,0.2,606000.0,1000,,
Asia,South-East Asia,Christmas Island,0.0,2000.0,–,,
Europe,Southern Europe,Holy See,0.0,1000.0,–,,
Asia,South-East Asia,Indonesia,0.0,263510000.0,82000,41102.0,40898
Oceania,Melanesia,Nauru,0.0,10000.0,–,,
Asia,East Asia,Taiwan,0.0,23405000.0,10000,5000.0,5000
