SEI,Modalidade,Criação,ETP,CLIC,Situação,Objeto,Demandante,Conclusão
002456/2022-50,Pregão,19/01/2022,18/07/2022,04/07/2022,Revogado,Material,IU,20/09/22
002396/2022-75,Pregão,19/01/2022,11/07/2022,11/07/2022,Homologado,Serviço,SUINFRA,27/10/22
002446/2022-14,Pregão,19/01/2022,17/10/2022,29/09/2022,Homologado,Material,IU,09/12/22
002547/2022-95,Pregão,20/01/2022,18/02/2022,21/02/2022,Homologado,Material,CLIC,12/07/22
002757/2022-83,Pregão,21/01/2022,28/01/2022,31/01/2022,Homologado,Material,ALMOX,09/06/22
002990/2022-66,Pregão,24/01/2022,08/02/2022,21/02/2022,Fracassado,Material,BL,09/05/22
003114/2022-57,Pregão,24/01/2022,22/02/2022,03/03/2022,Homologado,Serviço,IU,06/06/22
002960/2022-50,Pregão,24/01/2022,14/03/2022,14/03/2022,Homologado,Material,BL,12/07/22
003065/2022-52,Pregão,24/01/2022,01/04/2022,01/04/2022,Homologado,Serviço,SUINFRA,24/06/22
003553/2022-60,Pregão,26/01/2022,04/06/2022,14/06/2022,Homologado,Material,SEPT,16/09/22
003963/2022-19,Pregão,28/01/2022,05/04/2022,12/04/2022,Homologado,Material,SUINFRA,16/03/23
003969/2022-88,Pregão,28/01/2022,01/08/2022,02/08/2022,Fracassado,Material,SUINFRA,15/08/22
003975/2022-35,Pregão,28/01/2022,10/11/2022,11/11/2022,Homologado,Serviço,SUINFRA,31/03/23
003972/2022-00,Pregão,28/01/2022,12/12/2022,03/01/2023,Homologado,Material,SUINFRA,24/04/23
004552/2022-32,Pregão,01/02/2022,14/03/2022,15/03/2022,Homologado,Material,CLIC,20/07/22
004555/2022-76,Pregão,01/02/2022,18/05/2022,19/05/2022,Homologado,Material,CLIC,26/09/22
004556/2022-11,Pregão,01/02/2022,22/06/2022,23/06/2022,Homologado,Material,CLIC,25/10/22
006153/2022-14,Pregão,07/02/2022,30/03/2022,30/03/2022,Homologado,Serviço,INTEGRA,14/06/22
006793/2022-16,Pregão,08/02/2022,06/03/2022,08/03/2022,Homologado,Material,CLIC,23/06/22
006992/2022-24,Pregão,09/02/2022,20/04/2023,20/04/2023,Homologado,Serviço,AGTIC,11/07/23
007256/2022-93,Pregão,10/02/2022,06/03/2022,08/03/2022,Homologado,Material,ALMOX,19/10/22
007624/2022-01,Pregão,11/02/2022,18/02/2022,08/03/2022,Homologado,Material,PALOTINA,14/06/22
009536/2022-36,Pregão,17/02/2022,03/07/2022,04/07/2022,Homologado,Serviço,AGTIC,21/11/22
010841/2022-71,Pregão,21/02/2022,30/03/2022,31/03/2022,Homologado,Material,CLIC,12/09/22
011510/2022-58,Pregão,23/02/2022,23/03/2022,29/03/2022,Homologado,Material,PALOTINA,23/08/22
012678/2022-81,Pregão,03/03/2022,28/03/2022,30/03/2022,Homologado,Material,ALMOX,18/07/22
013093/2022-88,Pregão,04/03/2022,30/03/2022,31/03/2022,Homologado,Material,CLIC,14/09/22
013090/2022-44,Pregão,04/03/2022,18/05/2022,23/05/2022,Homologado,Material,CLIC,21/10/22
013155/2022-51,Pregão,04/03/2022,13/06/2022,14/06/2022,Homologado,Material,CLIC,05/12/22
013133/2022-91,Pregão,04/03/2022,01/02/2023,26/01/2023,Homologado,Material,CLIC,05/06/23
013102/2022-31,Pregão,04/03/2022,11/07/2023,10/07/2023,Homologado,Serviço,SUINFRA,11/10/23
013530/2022-63,Pregão,08/03/2022,28/03/2022,28/03/2022,Homologado,Serviço,RU,16/05/22
014784/2022-07,Pregão,11/03/2022,27/06/2022,04/07/2022,Homologado,Serviço,SPIN,03/10/22
015347/2022-01,Pregão,14/03/2022,30/03/2022,30/03/2022,Homologado,Material,ALMOX,23/09/22
016106/2022-71,Pregão,17/03/2022,18/05/2022,18/05/2022,Deserto,Serviço,SD,13/07/22
016301/2022-09,Pregão,17/03/2022,12/07/2022,12/07/2022,Homologado,Serviço,AGTIC,30/09/22
016342/2022-97,Pregão,17/03/2022,29/07/2022,29/07/2022,Homologado,Material,AGTIC,19/12/22
016156/2022-58,Pregão,17/03/2022,01/11/2022,01/11/2022,Homologado,Serviço,CT,20/12/22
016843/2022-73,Pregão,21/03/2022,09/05/2022,11/05/2022,Fracassado,Material,BL,12/08/22
017939/2022-59,Pregão,24/03/2022,22/06/2022,23/06/2022,Homologado,Material,BL,07/11/22
019565/2022-14,Pregão,30/03/2022,17/10/2022,26/10/2022,Homologado,Serviço,AGTIC,18/01/23
019727/2022-14,Pregão,31/03/2022,04/05/2022,06/05/2022,Homologado,Material,SUINFRA,18/10/22
019731/2022-74,Pregão,31/03/2022,27/06/2022,27/06/2022,Homologado,Material,SUINFRA,04/11/22
020734/2022-51,Pregão,04/04/2022,05/04/2022,07/04/2022,Homologado,Material,SUINFRA,10/10/22
020446/2022-04,Pregão,04/04/2022,03/06/2022,06/06/2022,Homologado,Serviço,SUINFRA,02/09/22
020672/2022-87,Pregão,04/04/2022,19/08/2022,29/08/2022,Fracassado,Material,SUINFRA,05/10/22
021097/2022-30,Pregão,05/04/2022,09/05/2022,27/05/2022,Homologado,Material,SD,20/09/22
021065/2022-34,Pregão,05/04/2022,29/03/2023,31/03/2023,Deserto,Serviço,PALOTINA,09/05/23
021676/2022-82,Pregão,07/04/2022,15/01/2024,15/01/2024,Homologado,Obra,SUINFRA,21/03/24
022118/2022-34,RDC,08/04/2022,27/10/2023,15/09/2023,Revogado,Obra,SUINFRA,18/12/23
023906/2022-48,Pregão,19/04/2022,17/06/2022,22/06/2022,Homologado,Material,BL,24/10/22
025008/2022-24,Pregão,25/04/2022,03/05/2022,03/05/2022,Homologado,Serviço,CLIC,23/06/22
025609/2022-37,Pregão,26/04/2022,15/09/2022,21/09/2022,Homologado,Serviço,SUINFRA,06/12/22
026872/2022-43,Pregão,29/04/2022,09/05/2022,19/05/2022,Homologado,Material,BL,13/09/22
026944/2022-52,Concorrência,29/04/2022,17/10/2024,18/10/2024,Homologado,Obra,SUINFRA,14/04/25
027086/2022-63,Pregão,02/05/2022,01/08/2022,29/07/2022,Homologado,Serviço,CLIC,08/11/22
027657/2022-60,Pregão,03/05/2022,20/06/2022,04/07/2022,Homologado,Serviço,PALOTINA,24/10/22
028363/2022-55,Pregão,05/05/2022,26/05/2022,20/06/2022,Homologado,Material,SD,16/09/22
028752/2022-81,Pregão,06/05/2022,18/05/2022,18/05/2022,Homologado,Serviço,CLIC,12/07/22
030719/2022-11,Pregão,16/05/2022,20/05/2022,24/05/2022,Homologado,Material,ALMOX,23/09/22
030628/2022-85,Pregão,16/05/2022,27/05/2022,31/05/2022,Homologado,Serviço,AGTIC,21/07/22
030582/2022-02,Pregão,16/05/2022,25/05/2022,06/06/2022,Deserto,Material,ET,08/08/22
030906/2022-02,Pregão,17/05/2022,19/07/2022,04/07/2022,Homologado,Material,SA ,28/09/22
031073/2022-99,Pregão,17/05/2022,18/07/2022,04/07/2022,Homologado,Material,IU,21/10/22
031970/2022-01,Pregão,20/05/2022,13/06/2022,14/06/2022,Fracassado,Material,CPP-CEM,12/08/22
032760/2022-21,Pregão,24/05/2022,04/07/2022,04/07/2022,Homologado,Material,SUINFRA,18/01/23
033101/2022-11,Pregão,25/05/2022,27/05/2022,06/06/2022,Homologado,Material,SUINFRA,01/02/23
034352/2022-12,Pregão,31/05/2022,05/07/2022,06/07/2022,Homologado,Serviço,RU,15/09/22
034326/2022-86,Pregão,31/05/2022,02/08/2022,04/07/2022,Homologado,Material,SD,19/10/22
034295/2022-63,Pregão,31/05/2022,25/07/2022,25/07/2022,Homologado,Material,BC,20/10/22
034146/2022-02,Pregão,31/05/2022,24/11/2023,24/11/2023,Homologado,Material,SUINFRA,27/12/23
034704/2022-21,Pregão,01/06/2022,24/06/2022,04/07/2022,Homologado,Serviço,SD,03/10/22
035347/2022-19,Pregão,03/06/2022,20/06/2022,05/07/2022,Homologado,Material,SEPT,20/10/22
035101/2022-47,Pregão,03/06/2022,25/07/2022,18/07/2022,Homologado,Material,BL,11/10/22
035449/2022-34,Pregão,06/06/2022,17/04/2023,17/04/2023,Homologado,Serviço,SUINFRA,26/05/23
036846/2022-23,Pregão,09/06/2022,29/07/2022,29/07/2022,Homologado,Material,CLIC,19/12/22
039447/2022-14,Pregão,20/06/2022,21/07/2022,25/07/2022,Homologado,Serviço,SA ,20/10/22
039405/2022-83,Pregão,20/06/2022,26/08/2022,26/08/2022,Homologado,Material,CLIC,07/02/23
039411/2022-31,Pregão,20/06/2022,12/06/2023,07/06/2023,Homologado,Material,CLIC,31/08/23
040541/2022-16,Pregão,23/06/2022,06/10/2022,06/10/2022,Homologado,Material,ET,22/11/22
040571/2022-22,Pregão,23/06/2022,11/10/2022,13/10/2022,Fracassado,Serviço,CLIC,05/12/22
041322/2022-54,Pregão,27/06/2022,22/07/2022,25/07/2022,Homologado,Material,TL,08/12/22
042321/2022-27,Pregão,29/06/2022,12/07/2022,25/07/2022,Homologado,Material,SD,19/10/22
042485/2022-54,Pregão,30/06/2022,09/08/2022,11/08/2022,Homologado,Material,SUINFRA,31/01/23
042442/2022-79,Pregão,30/06/2022,09/08/2022,15/08/2022,Homologado,Material,SUINFRA,13/12/22
042446/2022-57,Pregão,30/06/2022,17/08/2022,25/08/2022,Homologado,Material,SUINFRA,26/05/23
042455/2022-48,Pregão,30/06/2022,17/08/2022,29/08/2022,Homologado,Material,SUINFRA,20/03/23
042449/2022-91,Pregão,30/06/2022,31/08/2022,02/09/2022,Homologado,Material,SUINFRA,29/03/23
042492/2022-56,Pregão,30/06/2022,06/06/2023,05/06/2023,Homologado,Serviço,SUINFRA,21/08/23
044030/2022-73,Pregão,06/07/2022,12/07/2022,13/07/2022,Homologado,Material,CLIC,23/09/22
044424/2022-21,Pregão,07/07/2022,02/08/2022,03/08/2022,Deserto,Serviço,BL,28/09/22
044813/2022-57,Pregão,11/07/2022,12/07/2022,25/07/2022,Homologado,Material,SD,24/10/22
045829/2022-87,Pregão,15/07/2022,26/09/2022,26/09/2022,Homologado,Serviço,CLIC,23/01/23
045826/2022-43,Pregão,15/07/2022,19/10/2022,19/10/2022,Homologado,Serviço,CLIC,08/12/22
046775/2022-77,Pregão,20/07/2022,20/07/2022,29/07/2022,Homologado,Material,BL,04/11/22
046735/2022-25,Pregão,20/07/2022,10/08/2022,10/08/2022,Homologado,Material,ALMOX,20/12/22
048169/2022-96,Pregão,27/07/2022,06/09/2022,06/09/2022,Homologado,Material,AG,19/12/22
048702/2022-10,Pregão,29/07/2022,31/08/2022,06/09/2022,Homologado,Material,SUINFRA,21/11/22
049073/2022-45,Pregão,01/08/2022,24/08/2022,26/08/2022,Homologado,Material,SUINFRA,01/02/23
050131/2022-83,RDC,03/08/2022,01/03/2023,02/03/2023,Fracassado,Obra,SUINFRA,03/08/23
050195/2022-84,Pregão,03/08/2022,07/02/2023,02/02/2023,Homologado,Material,CLIC,16/05/23
050330/2022-91,RDC,04/08/2022,28/02/2023,27/01/2023,Fracassado,Obra,SUINFRA,30/06/23
052328/2022-57,Pregão,12/08/2022,26/08/2022,26/08/2022,Homologado,Serviço,CLIC,04/11/22
052268/2022-72,Pregão,12/08/2022,04/01/2023,05/01/2023,Homologado,Serviço,AGTIC,24/02/23
052469/2022-70,Pregão,15/08/2022,23/01/2023,23/01/2023,Homologado,Serviço,AGTIC,06/04/23
052996/2022-84,Pregão,16/08/2022,02/09/2022,02/09/2022,Homologado,Material,PALOTINA,19/12/22
052829/2022-33,Pregão,16/08/2022,19/10/2022,14/10/2022,Homologado,Material,CLIC,17/01/23
052833/2022-00,Pregão,16/08/2022,30/11/2022,30/11/2022,Homologado,Material,CLIC,17/02/23
052841/2022-48,Pregão,16/08/2022,23/12/2022,21/12/2022,Homologado,Material,CLIC,23/05/23
052830/2022-68,Pregão,16/08/2022,01/11/2022,31/10/2022,Homologado,Material,CLIC,03/03/23
052882/2022-34,Pregão,16/08/2022,16/08/2022,13/02/2023,Homologado,Material,SEPT,27/03/23
054026/2022-13,Pregão,22/08/2022,24/08/2022,26/08/2022,Homologado,Material,BL,24/11/22
054569/2022-31,Pregão,23/08/2022,06/09/2022,29/08/2022,Homologado,Material,ALMOX,19/12/22
054834/2022-81,Pregão,24/08/2022,06/09/2022,06/09/2022,Homologado,Material,ALMOX,24/11/22
055456/2022-52,Pregão,26/08/2022,02/09/2022,19/09/2022,Fracassado,Material,PALOTINA,01/12/22
055680/2022-44,Pregão,29/08/2022,06/09/2022,06/09/2022,Homologado,Material,PALOTINA,31/10/22
055811/2022-93,Pregão,29/08/2022,21/09/2022,22/09/2022,Homologado,Material,ALMOX,18/01/23
055694/2022-68,Pregão,29/08/2022,09/03/2023,15/03/2023,Homologado,Material,SUINFRA,10/07/23
056063/2022-66,Pregão,30/08/2022,13/10/2022,14/10/2022,Homologado,Serviço,SUINFRA,18/01/23
058047/2022-16,Pregão,12/09/2022,07/12/2023,06/11/2023,Fracassado,Serviço,SUINFRA,09/01/24
059768/2022-35,Pregão,19/09/2022,23/09/2022,23/09/2022,Homologado,Material,CLIC,24/10/22
061158/2022-00,Concorrência,26/09/2022,02/05/2024,07/03/2024,Homologado,Obra,SUINFRA,23/07/24
062842/2022-09,Pregão,03/10/2022,02/04/2023,05/04/2023,Homologado,Serviço,IU,20/10/23
063516/2022-19,Pregão,05/10/2022,08/12/2022,08/12/2022,Homologado,Material,CLIC,21/03/23
065470/2022-64,Pregão,13/10/2022,06/09/2023,11/09/2023,Homologado,Material,AGTIC,19/12/23
067091/2022-17,Pregão,19/10/2022,10/11/2022,09/11/2022,Homologado,Serviço,CLIC,02/01/23
069569/2022-35,Pregão,27/10/2022,16/01/2024,19/01/2024,Homologado,Serviço,SGA,05/04/24
070185/2022-65,Pregão,01/11/2022,21/11/2022,30/11/2022,Homologado,Material,SUINFRA,11/04/23
070181/2022-87,Pregão,01/11/2022,26/01/2023,25/01/2023,Homologado,Serviço,BL,12/04/23
070715/2022-75,Pregão,03/11/2022,21/11/2022,21/11/2022,Homologado,Material,ALMOX,10/02/23
070827/2022-26,Pregão,03/11/2022,20/11/2022,22/11/2022,Homologado,Material,IU,08/02/23
075644/2022-05,Pregão,29/11/2022,11/04/2023,11/04/2023,Homologado,Serviço,RU,14/06/23
076618/2022-96,Pregão,02/12/2022,12/12/2022,28/12/2022,Homologado,Material,PALOTINA,16/02/23
077534/2022-70,Pregão,08/12/2022,15/12/2022,12/12/2022,Homologado,Material,ALMOX,10/04/23
078292/2022-31,Pregão,13/12/2022,17/03/2023,15/03/2023,Homologado,Serviço,CLIC,28/04/23
078585/2022-19,Pregão,14/12/2022,06/06/2023,16/05/2023,Homologado,Serviço,SD,19/09/23
078768/2022-34,Pregão,15/12/2022,16/12/2022,20/12/2022,Homologado,Material,PALOTINA,17/03/23
078721/2022-71,Pregão,15/12/2022,07/03/2023,23/02/2023,Homologado,Material,BL,25/05/23
079880/2022-92,Pregão,22/12/2022,01/02/2023,31/01/2023,Homologado,Material,ALMOX,23/05/23
000333/2023-65,Pregão,03/01/2023,30/01/2023,27/02/2023,Homologado,Material,SUINFRA,04/05/23
000377/2023-95,Pregão,04/01/2023,02/04/2023,27/03/2023,Homologado,Serviço,CLIC,05/06/23
000378/2023-30,Pregão,04/01/2023,02/04/2023,04/04/2023,Homologado,Serviço,CLIC,05/06/23
000374/2023-51,Pregão,04/01/2023,02/04/2023,05/04/2023,Homologado,Serviço,CLIC,17/05/23
000380/2023-17,Pregão,04/01/2023,11/04/2023,10/04/2023,Homologado,Material,CLIC,05/07/23
076994/2023-61,Pregão,07/01/2023,22/01/2024,19/01/2024,Homologado,Serviço,PRA/UIMP,18/04/24
001679/2023-81,Pregão,13/01/2023,23/03/2023,14/02/2023,Homologado,Serviço,CLOG,09/05/23
002012/2023-03,Pregão,17/01/2023,13/06/2023,16/06/2023,Homologado,Serviço,EDITORA,20/09/23
003576/2023-55,Pregão,24/01/2023,02/06/2023,13/06/2023,Deserto,Serviço,PROEC,23/08/23
003738/2023-55,Pregão,25/01/2023,01/03/2023,07/03/2023,Homologado,Material,SUINFRA,10/08/23
004216/2023-71,Pregão,27/01/2023,01/02/2023,01/02/2023,Homologado,Serviço,CLIC,03/05/23
004276/2023-93,Pregão,27/01/2023,07/02/2023,07/02/2023,Homologado,Material,IU,29/03/23
004937/2023-81,Pregão,31/01/2023,11/04/2023,11/04/2023,Homologado,Serviço,CLOG,16/05/23
005415/2023-04,Pregão,02/02/2023,30/05/2023,12/05/2023,Homologado,Serviço,CLOG,08/08/23
006263/2023-59,Pregão,07/02/2023,31/03/2023,05/04/2023,Homologado,Material,SUINFRA,14/08/23
006257/2023-00,Pregão,07/02/2023,08/04/2024,08/04/2024,Homologado,Material,SUINFRA,19/08/24
006269/2023-26,Pregão,07/02/2023,16/04/2024,15/04/2024,Homologado,Material,SUINFRA,30/09/24
006897/2023-10,Pregão,09/02/2023,23/02/2023,15/02/2023,Homologado,Material,ALMOX,18/04/23
007470/2023-21,Pregão,13/02/2023,15/02/2023,24/02/2023,Homologado,Material,HVP,03/05/23
008176/2023-36,Pregão,15/02/2023,22/02/2023,01/03/2023,Homologado,Material,BL,23/05/23
008843/2023-81,Pregão,22/02/2023,24/02/2023,27/02/2023,Fracassado,Material,HVP,18/04/23
009000/2023-00,Pregão,23/02/2023,24/02/2023,02/03/2023,Homologado,Material,HVP,18/04/23
010012/2023-79,Pregão,28/02/2023,06/04/2023,06/04/2023,Deserto,Serviço,CLIC,03/05/23
011188/2023-48,Pregão,01/03/2023,10/03/2023,06/03/2023,Homologado,Material,ALMOX,06/04/23
011461/2023-34,Pregão,02/03/2023,07/12/2023,07/12/2023,Homologado,Serviço,SETOR DE BIOLÓGICAS,21/02/24
011432/2023-72,Pregão,02/03/2023,16/04/2024,15/04/2024,Homologado,Material,SUINFRA,03/09/24
011976/2023-34,Pregão,06/03/2023,02/04/2023,29/03/2023,Homologado,Material,CLIC,21/06/23
007249/2023-72,Pregão,10/02/2023,13/02/2023,17/02/2023,Homologado,Material,HVP,19/04/23
013865/2023-62,Pregão,13/03/2023,24/03/2023,28/03/2023,Deserto,Material,BL,16/05/23
013685/2023-81,Pregão,13/03/2023,17/07/2023,13/07/2023,Homologado,Serviço,SIPAD,25/09/23
015070/2023-99,Concorrência,16/03/2023,16/10/2024,14/10/2024,Homologado,Obra,SUINFRA,20/05/25
015276/2023-19,Pregão,17/03/2023,17/01/2024,25/01/2024,Homologado,Material,AGTIC,04/09/24
015592/2023-91,Pregão,20/03/2023,06/05/2023,16/05/2023,Homologado,Material,CLIC,19/09/23
015596/2023-79,Pregão,20/03/2023,10/07/2023,10/07/2023,Homologado,Material,CLIC,28/09/23
015551/2023-02,Pregão,20/03/2023,15/08/2023,14/08/2023,Homologado,Serviço,CLIC,28/11/23
015528/2023-18,Pregão,20/03/2023,31/10/2023,31/10/2023,Revogado,Serviço,SUCOM,02/01/24
017997/2023-63,Pregão,27/03/2023,12/05/2023,11/05/2023,Homologado,Material,CLIC,14/06/23
017999/2023-52,Pregão,27/03/2023,30/05/2023,30/05/2023,Homologado,Serviço,CLIC,22/06/23
017981/2023-51,Pregão,27/03/2023,04/07/2023,05/07/2023,Homologado,Material,IU,04/09/23
018960/2023-52,Pregão,29/03/2023,05/04/2023,11/04/2023,Homologado,Material,SUINFRA,21/06/23
019409/2023-26,Pregão,30/03/2023,19/05/2023,22/05/2023,Homologado,Serviço,CLIC,15/06/23
019343/2023-74,Pregão,30/03/2023,15/09/2023,18/09/2023,Homologado,Material,BL,13/12/23
019531/2023-01,Pregão,31/03/2023,05/07/2023,04/07/2023,Homologado,Serviço,HVC,20/09/23
020413/2023-37,Pregão,04/04/2023,28/09/2023,29/09/2023,Homologado,Serviço,CPP-CEM,28/11/23
022100/2023-13,Pregão,11/04/2023,16/04/2024,15/04/2024,Homologado,Material,SUINFRA,11/09/24
022635/2023-94,Pregão,12/04/2023,27/07/2023,28/07/2023,Homologado,Serviço,CENTRAN,27/09/23
023602/2023-61,Pregão,17/04/2023,10/11/2023,07/11/2023,Homologado,Serviço,SUINFRA,23/01/24
024121/2023-73,Pregão,18/04/2023,14/07/2023,27/07/2023,Homologado,Material,AGTIC,20/10/23
025071/2023-41,Pregão,24/04/2023,28/09/2023,20/09/2023,Homologado,Serviço,AG,18/12/23
025764/2023-34,Pregão,26/04/2023,18/09/2023,02/10/2023,Homologado,Material,SD,09/01/24
025881/2023-06,Pregão,26/04/2023,21/11/2023,21/11/2023,Homologado,Serviço,SUINFRA,23/02/24
032740/2023-31,Pregão,04/05/2023,13/06/2023,06/06/2023,Homologado,Material,ALMOX,17/08/23
028571/2023-35,Pregão,08/05/2023,10/07/2023,07/07/2023,Homologado,Material,CLIC,13/12/23
028574/2023-79,Pregão,08/05/2023,05/10/2023,05/10/2023,Homologado,Material,CLIC,23/02/24
028690/2023-98,Pregão,08/05/2023,28/03/2024,28/03/2024,Homologado,Material,SUINFRA,12/08/24
029755/2023-12,Pregão,11/05/2023,09/08/2023,10/08/2023,Homologado,Serviço,CLOG,14/12/23
030603/2023-62,Pregão,15/05/2023,18/05/2023,17/05/2023,Homologado,Material,CLIC,14/08/23
030605/2023-51,Pregão,15/05/2023,31/05/2023,30/05/2023,Homologado,Material,CLIC,16/10/23
030705/2023-88,Pregão,16/05/2023,22/05/2023,29/05/2023,Homologado,Material,CLIC,04/08/23
031238/2023-11,Pregão,17/05/2023,12/08/2024,12/08/2024,Homologado,Obra,SUINFRA,16/10/24
032706/2023-67,Pregão,24/05/2023,19/06/2023,16/06/2023,Homologado,Material,CLIC,05/10/23
032800/2023-16,Pregão,24/05/2023,17/07/2023,18/07/2023,Homologado,Serviço,SPIN,19/09/23
032702/2023-89,Pregão,24/05/2023,23/01/2024,25/01/2024,Homologado,Serviço,SUCOM,14/10/24
033060/2023-35,Pregão,25/05/2023,31/07/2023,27/07/2023,Homologado,Material,BL,24/11/23
033064/2023-13,Pregão,25/05/2023,11/08/2023,15/08/2023,Homologado,Material,BL,24/10/23
034181/2023-02,Pregão,31/05/2023,30/06/2023,03/07/2023,Homologado,Material,CLIC,26/09/23
034167/2023-09,Pregão,31/05/2023,27/07/2023,24/07/2023,Homologado,Material,CT,28/09/23
034183/2023-93,Pregão,31/05/2023,27/07/2023,28/07/2023,Homologado,Material,CLIC,17/10/23
034184/2023-38,Pregão,31/05/2023,25/10/2023,06/11/2023,Homologado,Material,CLIC,31/01/24
036050/2023-51,Pregão,06/06/2023,06/03/2024,07/03/2024,Homologado,Material,SUINFRA,06/08/24
036097/2023-15,Pregão,06/06/2023,14/03/2024,15/03/2024,Revogado,Serviço,GABINETE DA REITORIA,15/07/24
036054/2023-30,Pregão,06/06/2023,26/03/2024,26/03/2024,Homologado,Material,SUINFRA,29/08/24
036188/2023-51,Pregão,07/06/2023,22/06/2023,22/06/2023,Homologado,Serviço,RU,19/09/23
036367/2023-98,Pregão,07/06/2023,07/07/2023,06/07/2023,Homologado,Serviço,CLIC,30/08/23
037282/2023-27,Pregão,14/06/2023,04/07/2023,11/07/2023,Homologado,Material,ALMOX,20/10/23
037313/2023-40,Pregão,14/06/2023,07/09/2023,14/09/2023,Homologado,Serviço,CPP-CEM,22/11/23
042222/2023-26,Pregão,05/07/2023,11/07/2023,18/07/2023,Homologado,Material,HVP,24/10/23
042721/2023-13,Pregão,06/07/2023,11/07/2023,19/07/2023,Homologado,Material,HVP,19/09/23
042611/2023-51,Pregão,06/07/2023,19/07/2023,21/07/2023,Homologado,Material,HVP,13/09/23
043267/2023-18,Pregão,10/07/2023,28/03/2024,28/03/2024,Homologado,Material,SUINFRA,26/08/24
044198/2023-60,Pregão,13/07/2023,15/01/2024,19/01/2024,Homologado,Serviço,PRA,08/04/24
044201/2023-45,Pregão,13/07/2023,02/02/2024,01/02/2024,Homologado,Material,UPCL,09/07/24
044212/2023-25,Pregão,13/07/2023,18/03/2024,15/03/2024,Homologado,Material,UPCL,09/10/24
044516/2023-92,Pregão,17/07/2023,04/08/2023,02/08/2023,Homologado,Serviço,CLIC,09/10/23
046533/2023-64,Pregão,26/07/2023,31/10/2023,01/11/2023,Homologado,Material,HVP,22/12/23
046797/2023-18,Pregão,27/07/2023,09/08/2023,07/08/2023,Homologado,Material,ALMOX,13/09/23
046801/2023-48,Pregão,27/07/2023,15/09/2023,11/09/2023,Homologado,Material,SD,01/02/24
047945/2023-11,Pregão,01/08/2023,23/08/2023,23/08/2023,Homologado,Material,CLIC,26/12/23
048635/2023-14 ,Pregão,03/08/2023,19/02/2024,19/02/2024,Homologado,Material,SUINFRA,12/08/24
051518/2023-38,Pregão,14/08/2023,07/11/2023,07/11/2023,Fracassado,Material,SUCOM,14/12/23
051550/2023-13,Pregão,14/08/2023,14/12/2023,14/12/2023,Homologado,Serviço,AGTIC,08/03/24
051907/2023-63,Pregão,15/08/2023,03/11/2023,03/11/2023,Homologado,Material,CLIC,06/02/24
051908/2023-16,Pregão,15/08/2023,20/11/2023,16/11/2023,Homologado,Material,CLIC,06/02/24
053908/2023-42,Pregão,22/08/2023,16/04/2024,10/04/2024,Homologado,Material,GABINETE REITORIA,21/05/24
054137/2023-19,Pregão,23/08/2023,21/09/2023,20/09/2023,Homologado,Material,ALMOX,06/02/24
054504/2023-76,Concorrência,24/08/2023,17/01/2024,27/11/2023,Fracassado,Obra,SUINFRA,21/01/25
055115/2023-68,Pregão,27/08/2023,07/11/2024,07/11/2024,Homologado,Obra,SUINFRA,30/12/24
056055/2023-09,Pregão,30/08/2023,18/10/2023,18/10/2023,Homologado,Material,ET,10/01/24
058099/2023-65,Pregão,11/09/2023,20/03/2024,18/03/2024,Homologado,Material,SUINFRA,09/09/24
058086/2023-96,Pregão,11/09/2023,20/03/2024,19/03/2024,Homologado,Material,SUINFRA,16/08/24
061134/2023-23,Pregão,22/09/2023,20/02/2024,23/02/2024,Homologado,Material,UPCL,12/08/24
063934/2023-89,Pregão,04/10/2023,16/11/2023,22/11/2023,Homologado,Serviço,AGTIC,14/03/24
064841/2023-71,Pregão,09/10/2023,13/11/2023,10/11/2023,Homologado,Material,ALMOX,19/02/24
064975/2023-92,Pregão,09/10/2023,02/01/2024,02/01/2024,Homologado,Material,UPCL,20/05/24
064981/2023-40,Pregão,09/10/2023,05/01/2024,05/01/2024,Fracassado,Serviço,UPCL,20/03/24
064980/2023-03,Pregão,09/10/2023,25/03/2024,25/03/2024,Homologado,Material,UPCL,10/09/24
067333/2023-45,Pregão,20/10/2023,23/11/2023,23/11/2023,Homologado,Serviço,RU,02/01/24
067451/2023-53,Pregão,20/10/2023,13/03/2024,14/03/2024,Fracassado,Serviço,PROGEPE,12/06/24
067638/2023-57,Pregão,23/10/2023,18/12/2023,19/12/2023,Homologado,Serviço,PROEC,19/03/24
067931/2023-14,Pregão,24/10/2023,30/11/2023,08/12/2023,Homologado,Material,SUCOM,09/04/24
068307/2023-34,Pregão,25/10/2023,30/11/2023,08/12/2023,Homologado,Material,SUCOM,28/02/24
069097/2023-00,Pregão,30/10/2023,20/12/2023,19/12/2023,Homologado,Serviço,CENTRAN,12/06/24
069428/2023-01,Pregão,31/10/2023,14/12/2023,15/12/2023,Homologado,Material,SUCOM,02/04/24
070021/2023-19,Pregão,03/11/2023,15/02/2024,02/01/2024,Homologado,Material,SUCOM,25/03/24
070846/2023-33,Pregão,07/11/2023,26/09/2024,08/08/2024,Homologado,Material,SUINFRA,19/03/25
070832/2023-10,Pregão,07/11/2023,21/08/2024,21/08/2024,Homologado,Material,SUINFRA,14/01/25
070853/2023-35,Pregão,07/11/2023,10/09/2024,10/09/2024,Homologado,Material,SUINFRA,07/04/25
070908/2023-15,Pregão,08/11/2023,24/07/2024,26/07/2024,Homologado,Material,SUINFRA,10/12/24
