SEI,Modalidade,Criação,ETP,CLIC,Situação,Objeto,Demandante,Conclusão
027718/2020-27,Pregão,12/05/2020,29/05/2020,21/05/2020,Homologado,Material,USUP/ALMOX,14/07/20
027837/2020-80,Pregão,12/05/2020,04/06/2020,30/06/2020,Homologado,Material,SUINFRA,24/09/20
027794/2020-32,Pregão,12/05/2020,17/09/2020,23/07/2020,Homologado,Material,SUINFRA,17/11/20
027825/2020-55,Pregão,12/05/2020,15/10/2020,23/07/2020,Homologado,Material,SUINFRA,14/01/21
027835/2020-91,Pregão,12/05/2020,02/10/2020,06/10/2020,Homologado,Material,SUINFRA,10/02/21
027810/2020-97,Pregão,12/05/2020,02/10/2020,06/10/2020,Homologado,Material,SUINFRA,03/03/21
027846/2020-71,Pregão,12/05/2020,17/11/2020,29/01/2021,Homologado,Material,SUINFRA,25/05/21
027852/2020-28,Pregão,12/05/2020,05/04/2021,09/04/2021,Homologado,Material,SUINFRA,21/06/21
029085/2020-91,Pregão,20/05/2020,29/05/2020,01/06/2020,Homologado,Material,GEPEC,27/07/20
029541/2020-01,Pregão,25/05/2020,21/08/2020,25/08/2020,Homologado,Material,BIOTÉRIO,09/12/20
029682/2020-16,Pregão,26/05/2020,07/12/2020,22/12/2020,Homologado,Material,SUINFRA,29/04/21
029906/2020-90,Pregão,27/05/2020,29/05/2020,01/06/2020,Homologado,Material,USUP/ALMOX,17/09/20
029940/2020-64,Pregão,27/05/2020,02/10/2020,16/03/2021,Homologado,Material,SUINFRA,21/06/21
030083/2020-45,Pregão,28/05/2020,12/08/2020,05/08/2020,Homologado,Serviço,EDITORA,19/10/20
030461/2020-91,Pregão,01/06/2020,05/08/2020,05/08/2020,Homologado,Serviço,PATRIMÔNIO,10/11/20
031207/2020-18,Pregão,04/06/2020,17/08/2020,18/08/2020,Homologado,Serviço,UPCL / IFPR,26/11/20
031512/2020-00,Pregão,08/06/2020,28/07/2020,30/07/2020,Homologado,Material,TOLEDO,07/10/20
031459/2020-39,Pregão,08/06/2020,18/08/2020,30/07/2020,Homologado,Material,TOLEDO,15/12/20
031530/2020-83,Pregão,08/06/2020,09/02/2021,01/03/2021,Homologado,Material,SUINFRA,01/07/21
031539/2020-94,Pregão,08/06/2020,19/01/2022,18/01/2022,Homologado,Serviço,AGTIC,12/04/22
031795/2020-81,Pregão,09/06/2020,26/10/2020,27/10/2020,Homologado,Material,SUINFRA,29/12/20
031784/2020-00,Pregão,09/06/2020,14/04/2021,15/04/2021,Deserto,Material,SUINFRA,17/06/21
032215/2020-73,Pregão,12/06/2020,16/12/2020,25/01/2021,Homologado,Serviço,SUINFRA,30/03/21
033547/2020-75,Pregão,22/06/2020,05/02/2021,05/02/2021,Homologado,Serviço,CLOG,14/05/21
034475/2020-83,Pregão,25/06/2020,06/08/2020,06/08/2020,Homologado,Serviço,LOGÍSTICA,23/10/20
034460/2020-15,Pregão,25/06/2020,27/10/2020,06/10/2020,Homologado,Material,SUINFRA,30/03/21
034478/2020-17,Pregão,25/06/2020,07/12/2020,23/02/2021,Homologado,Material,SUINFRA,28/04/21
035896/2020-21,Pregão,03/07/2020,23/09/2020,21/01/2021,Homologado,Serviço,INTEGRA,19/02/21
037037/2020-77,Pregão,09/07/2020,30/08/2021,13/09/2021,Homologado,Serviço,AG,11/11/21
037819/2020-14,Pregão,14/07/2020,15/10/2020,20/10/2020,Homologado,Material,PROEC,29/12/20
038372/2020-92,Pregão,17/07/2020,21/09/2020,30/09/2020,Homologado,Material,TOLEDO,30/12/20
039072/2020-21,Pregão,23/07/2020,17/08/2020,30/07/2020,Homologado,Material,USUP/ALMOX,21/12/20
039968/2020-18,Pregão,29/07/2020,18/09/2020,21/09/2020,Homologado,Material,ENFERMAGEM,29/03/21
039900/2020-21,Pregão,29/07/2020,15/10/2020,09/12/2020,Homologado,Material,PALOTINA,23/03/21
040113/2020-21,Pregão,30/07/2020,11/08/2020,11/08/2020,Homologado,Material,USUP/ALMOX,10/11/20
041662/2020-13,Pregão,06/08/2020,01/10/2020,01/10/2020,Homologado,Material,UPCL,29/01/21
042766/2020-45,Pregão,13/08/2020,19/08/2020,20/08/2020,Homologado,Material,USUP/ALMOX,22/12/20
044452/2020-87,Pregão,21/08/2020,01/10/2020,01/10/2020,Homologado,Serviço,UPCL,28/12/20
044811/2020-04,Pregão,24/08/2020,15/09/2020,23/09/2020,Homologado,Material,PALOTINA,21/12/20
048397/2020-02,Pregão,09/09/2020,06/10/2020,14/10/2020,Homologado,Material,UPCL,13/01/21
048522/2020-76,Pregão,10/09/2020,26/10/2020,26/10/2020,Homologado,Material,UPCL,10/02/21
049261/2020-10,Pregão,15/09/2020,11/11/2020,13/10/2020,Homologado,Material,MEDICINA INTEGRADA,24/02/21
049514/2020-47,Pregão,16/09/2020,22/12/2020,20/01/2021,Homologado,Material,SD,31/05/21
050001/2020-89,Pregão,17/09/2020,26/10/2020,26/10/2020,Homologado,Material,UPCL,23/02/21
052111/2020-85,Pregão,28/09/2020,07/10/2020,07/10/2020,Homologado,Material,USUP/ALMOX,22/12/20
052246/2020-41,Pregão,29/09/2020,19/01/2021,06/01/2020,Homologado,Material,SD,31/05/21
052603/2020-71,Pregão,30/09/2020,26/10/2020,26/10/2020,Homologado,Serviço,RU,21/12/20
053769/2020-12,RDC,05/10/2020,19/10/2020,20/10/2020,Homologado,Obra,SUINFRA,10/12/20
053660/2020-77,Pregão,05/10/2020,09/12/2020,20/01/2021,Deserto,Material,HVP,11/03/21
053720/2020-51,Pregão,05/10/2020,22/12/2020,29/01/2021,Homologado,Material,PALOTINA,01/06/21
054088/2020-63,RDC,06/10/2020,25/10/2021,07/04/2022,Homologado,Obra,SUINFRA,17/10/22
054368/2020-71,Pregão,07/10/2020,14/01/2021,20/01/2021,Homologado,Material,IU,30/04/21
054382/2020-75,Pregão,07/10/2020,19/02/2021,22/02/2021,Homologado,Material,IU,14/05/21
054496/2020-15,Pregão,07/10/2020,26/07/2021,27/07/2021,Homologado,Material,CLIC,07/12/21
054586/2020-14,Pregão,08/10/2020,14/01/2021,14/01/2021,Homologado,Serviço,CLIC,05/03/21
054678/2020-96,Pregão,08/10/2020,30/11/2020,28/01/2021,Homologado,Material,CLIC,09/03/21
056283/2020-28,Pregão,15/10/2020,12/03/2021,11/02/2021,Homologado,Serviço,CLIC,23/04/21
059189/2020-21,Pregão,26/10/2020,27/11/2020,27/11/2020,Homologado,Material,CLIC,04/03/21
059323/2020-93,Pregão,27/10/2020,27/11/2020,03/12/2020,Homologado,Material,BIOTÉRIO,28/12/20
059834/2020-13,Pregão,29/10/2020,22/03/2021,24/03/2021,Fracassado,Serviço,CPP-CEM,14/06/21
060192/2020-97,Pregão,31/10/2020,25/01/2021,23/02/2021,Homologado,Material,BL,21/06/21
